match_num,date,fixture
1,2019-06-01,Tottenham Hotspur vs Liverpool
2,2018-05-26,Real Madrid vs Liverpool
3,2007-05-23,AC Milan vs Liverpool
4,2005-05-25,AC Milan vs Liverpool
5,2016-05-15,West Bromwich Albion vs Liverpool
6,2016-05-11,Liverpool vs Chelsea
7,2015-12-30,Sunderland vs Liverpool
8,2015-12-13,Liverpool vs West Bromwich Albion
9,2015-08-29,Liverpool vs West Ham United
10,2015-09-20,Liverpool vs Norwich City
11,2015-10-04,Everton vs Liverpool
12,2015-11-29,Liverpool vs Swansea City
13,2015-12-20,Watford vs Liverpool
14,2015-10-31,Chelsea vs Liverpool
15,2015-12-06,Newcastle United vs Liverpool
16,2015-10-17,Tottenham Hotspur vs Liverpool
17,2015-09-26,Liverpool vs Aston Villa
18,2015-11-21,Manchester City vs Liverpool
19,2015-10-25,Liverpool vs Southampton
20,2015-11-08,Liverpool vs Crystal Palace
21,2015-12-26,Liverpool vs Leicester City
22,2015-09-12,Manchester United vs Liverpool
23,2015-08-09,Stoke City vs Liverpool
24,2015-08-24,Arsenal vs Liverpool
25,2016-03-20,Southampton vs Liverpool
26,2016-04-10,Liverpool vs Stoke City
27,2016-03-02,Liverpool vs Manchester City
28,2016-05-01,Swansea City vs Liverpool
29,2016-04-02,Liverpool vs Tottenham Hotspur
30,2016-04-23,Liverpool vs Newcastle United
31,2016-02-14,Aston Villa vs Liverpool
32,2016-04-17,AFC Bournemouth vs Liverpool
33,2016-03-06,Crystal Palace vs Liverpool
34,2016-01-02,West Ham United vs Liverpool
35,2016-02-02,Leicester City vs Liverpool
36,2016-04-20,Liverpool vs Everton
37,2016-01-13,Liverpool vs Arsenal
38,2016-02-06,Liverpool vs Sunderland
39,2016-05-08,Liverpool vs Watford
40,2016-01-17,Liverpool vs Manchester United
41,2016-01-23,Norwich City vs Liverpool
42,2015-08-17,Liverpool vs AFC Bournemouth
43,2003-10-04,Liverpool vs Arsenal
44,2004-04-09,Arsenal vs Liverpool
